agg_type,ATT,SE,CI_lower,CI_upper,n_total_cells,n_valid_cells,weight_sum,dataset,outcome,event_time
calendar,0.035503046872487905,0.06646590775435848,-0.09477013232605472,0.1657762260710305,30,30,15921.0,All_POIs,lcus,31.0
calendar,0.009018902219729735,0.06589154875705695,-0.1201285333441019,0.13816633778356135,31,31,16531.0,All_POIs,lcus,32.0
calendar,0.019726921580958307,0.06739733759899955,-0.1123718601130808,0.15182570327499742,32,32,17068.0,All_POIs,lcus,33.0
calendar,0.024703695030078396,0.06853061644982074,-0.10961631321157024,0.15902370327172705,33,33,17317.0,All_POIs,lcus,34.0
calendar,0.02189724000909179,0.07139740697285203,-0.11804167765769819,0.16183615767588178,34,34,17644.0,All_POIs,lcus,35.0
calendar,-0.004376009790212386,0.0710212384789067,-0.1435776372088695,0.13482561762844475,35,35,17910.0,All_POIs,lcus,36.0
calendar,0.000316574810417048,0.07080487846898119,-0.13846098698878606,0.13909413660962017,36,36,18186.0,All_POIs,lcus,37.0
calendar,0.0013000630270072174,0.07033406811355435,-0.13655471047555928,0.13915483652957372,37,37,18644.0,All_POIs,lcus,38.0
calendar,-0.004942730012724306,0.07034704314691644,-0.14282293458068052,0.13293747455523192,38,38,18848.0,All_POIs,lcus,39.0
calendar,-0.0002550874433786171,0.06999473014864192,-0.1374447585347168,0.13693458364795955,39,39,19197.0,All_POIs,lcus,40.0
calendar,-0.013549788879074213,0.06943187137556696,-0.14963625677518544,0.12253667901703702,40,40,20105.0,All_POIs,lcus,41.0
calendar,-0.0022510475887090064,0.06990073881004957,-0.13925649565640616,0.13475440047898815,41,41,20396.0,All_POIs,lcus,42.0
calendar,-0.014216909275076912,0.06987736994697649,-0.15117655437115082,0.12274273582099701,42,42,20604.0,All_POIs,lcus,43.0
calendar,-0.03088601029855114,0.06959239827679653,-0.16728711092107235,0.10551509032397005,43,43,20924.0,All_POIs,lcus,44.0
calendar,-0.035027749266978866,0.06977907521107403,-0.17179473668068396,0.10173923814672624,44,44,21369.0,All_POIs,lcus,45.0
calendar,-0.02484582382208733,0.0699554362800541,-0.16195847893099335,0.11226683128681869,45,45,21590.0,All_POIs,lcus,46.0
calendar,0.0010832383910844802,0.07029294804013611,-0.1366909397675823,0.13885741654975126,46,46,21954.0,All_POIs,lcus,47.0
calendar,-0.02581196011431888,0.07007646811807342,-0.16316183762574277,0.111537917397105,47,47,22227.0,All_POIs,lcus,48.0
calendar,-0.04117361542480091,0.07009898511282367,-0.1785676262459353,0.09622039539633348,48,48,22642.0,All_POIs,lcus,49.0
calendar,-0.015068369725300864,0.07004760966209365,-0.15236168466300443,0.1222249452124027,49,49,23012.0,All_POIs,lcus,50.0
calendar,-0.0211856402219639,0.0689578061855665,-0.15634294034567425,0.11397165990174646,50,50,23578.0,All_POIs,lcus,51.0
calendar,-0.013460586417549332,0.06934694827522188,-0.1493806050369842,0.12245943220188554,51,51,23905.0,All_POIs,lcus,52.0
calendar,-0.006378936783976986,0.0692337743685092,-0.142077134546255,0.12931926097830101,52,52,24226.0,All_POIs,lcus,53.0
calendar,0.007683492817892339,0.07141519821048384,-0.13229029567465597,0.14765728131044067,53,53,24574.0,All_POIs,lcus,54.0
calendar,-0.01320451338634973,0.07395287048372333,-0.15815213953444746,0.131743112761748,54,54,24877.0,All_POIs,lcus,55.0
calendar,-0.021911041667029615,0.07377358632611423,-0.1665072708662135,0.12268518753215427,55,55,25071.0,All_POIs,lcus,56.0
calendar,-0.014087281762748741,0.0723811384997619,-0.15595431322228204,0.12777974969678457,56,56,25362.0,All_POIs,lcus,57.0
calendar,-0.01014256739645652,0.07289007419049555,-0.1530071128098278,0.13272197801691474,57,57,25693.0,All_POIs,lcus,58.0
calendar,0.010094688413472467,0.07178974068855608,-0.13061320333609744,0.15080258016304238,58,58,26155.0,All_POIs,lcus,59.0
calendar,-0.03262993617546112,0.07141050326525053,-0.17259452257535216,0.10733465022442992,59,59,26358.0,All_POIs,lcus,60.0
calendar,-0.021923078046584128,0.0716536062770588,-0.16236414634961938,0.11851799025645111,60,60,26726.0,All_POIs,lcus,61.0
calendar,-0.010667254475231555,0.07106664368174971,-0.149957876091461,0.12862336714099787,61,61,26980.0,All_POIs,lcus,62.0
calendar,-0.014828793890181727,0.07139078791550289,-0.15475473820456742,0.12509715042420394,62,62,27249.0,All_POIs,lcus,63.0
calendar,-0.01173413383605563,0.07165664533134967,-0.15218115868550097,0.12871289101338973,63,63,27505.0,All_POIs,lcus,64.0
calendar,-0.0056439493479612775,0.07198335455212128,-0.14673132427011898,0.13544342557419642,64,64,27763.0,All_POIs,lcus,65.0
calendar,-0.01561691432774214,0.07301031223569175,-0.15871712630969798,0.12748329765421368,65,65,28126.0,All_POIs,lcus,66.0
calendar,-0.0405490973136708,0.0771920768515663,-0.19184556794274074,0.11074737331539916,66,66,28339.0,All_POIs,lcus,67.0
calendar,-0.04961408986847542,0.07698108974566376,-0.20049702576997636,0.10126884603302554,67,67,28654.0,All_POIs,lcus,68.0
calendar,-0.060633402251925754,0.07905691124043998,-0.2155849482831881,0.09431814377933659,68,68,28904.0,All_POIs,lcus,69.0
calendar,-0.06864091237203233,0.0956638250916708,-0.25614200955170713,0.11886018480764245,69,69,29021.0,All_POIs,lcus,70.0
calendar,-0.031190272388841877,0.09440771311143005,-0.21622939008724476,0.15384884530956103,70,70,29254.0,All_POIs,lcus,71.0
calendar,-0.06295576907600225,0.09354167266669874,-0.2462974475027318,0.1203859093507273,70,70,29254.0,All_POIs,lcus,72.0
simple,0.029785556045102073,0.08766275370136305,-0.14203344120956948,0.20160455329977364,2555,2555,1216644.0,All_POIs,lspend,
dynamic,-0.062202942282072016,0.09079657377600563,-0.24016422688304304,0.115758342318899,1,1,233.0,All_POIs,lspend,-69.0
dynamic,0.0516597859038965,0.12669232300844777,-0.19665716719266113,0.29997673900045413,2,2,350.0,All_POIs,lspend,-68.0
dynamic,0.01652493047646149,0.18447547029948802,-0.345046991310535,0.37809685226345796,3,3,600.0,All_POIs,lspend,-67.0
dynamic,0.03871183681737637,0.17686605309434553,-0.3079456272475408,0.3853693008822936,4,4,915.0,All_POIs,lspend,-66.0
dynamic,-0.09197312857811508,0.15899418742441787,-0.4036017359299741,0.21965547877374397,5,5,1128.0,All_POIs,lspend,-65.0
dynamic,-0.0011161833339752613,0.17121603922033127,-0.33669962020582456,0.334467253537874,6,6,1491.0,All_POIs,lspend,-64.0
dynamic,-0.10180336332930971,0.18805418782193734,-0.4703895714603069,0.26678284480168746,7,7,1749.0,All_POIs,lspend,-63.0
dynamic,0.14815501020602892,0.1549631605466459,-0.15557278446539705,0.4518828048774549,8,8,2005.0,All_POIs,lspend,-62.0
dynamic,-0.13967808081261887,0.19066660298831625,-0.5133846226697187,0.23402846104448097,9,9,2274.0,All_POIs,lspend,-61.0
dynamic,-0.1151582937132092,0.22648645987876118,-0.5590717550755812,0.32875516764916274,10,10,2528.0,All_POIs,lspend,-60.0
dynamic,0.0692039532885072,0.19710457525989053,-0.31712101422087824,0.45552892079789264,11,11,2896.0,All_POIs,lspend,-59.0
dynamic,-0.01982399872383045,0.218688934631742,-0.44845431060204477,0.40880631315438387,12,12,3099.0,All_POIs,lspend,-58.0
dynamic,-0.030315435818278495,0.21448222808958275,-0.4507006028738607,0.3900697312373037,13,13,3561.0,All_POIs,lspend,-57.0
dynamic,0.026346316950096337,0.2027741386674095,-0.3710909948380263,0.42378362873821895,14,14,3892.0,All_POIs,lspend,-56.0
dynamic,0.0947424860974412,0.23204143503898172,-0.360058726578963,0.5495436987738453,15,15,4183.0,All_POIs,lspend,-55.0
dynamic,-0.04089934897149958,0.22381859043109004,-0.47958378621643605,0.39778508827343684,16,16,4377.0,All_POIs,lspend,-54.0
dynamic,-0.06970352630726681,0.21601368504791257,-0.49309034900117543,0.35368329638664187,17,17,4680.0,All_POIs,lspend,-53.0
dynamic,-0.08331352634448498,0.18703648720118718,-0.4499050412588118,0.2832779885698419,18,18,5028.0,All_POIs,lspend,-52.0
dynamic,0.06303209946086086,0.1740020202096049,-0.2780118601499647,0.4040760590716864,19,19,5349.0,All_POIs,lspend,-51.0
dynamic,0.060211801326381806,0.15806024370981986,-0.24958627634486508,0.3700098789976287,20,20,5676.0,All_POIs,lspend,-50.0
dynamic,0.0963578242024543,0.1767436260281952,-0.25005968281280827,0.4427753312177169,21,21,6242.0,All_POIs,lspend,-49.0
dynamic,-0.08503134315847438,0.16355502394604363,-0.4055991900927199,0.23553650377577112,22,22,6612.0,All_POIs,lspend,-48.0
dynamic,0.028897022983283716,0.16712502600847354,-0.2986680279933244,0.3564620739598919,23,23,7027.0,All_POIs,lspend,-47.0
dynamic,0.024688060147975952,0.19506350624413743,-0.3576364120905334,0.4070125323864853,24,24,7300.0,All_POIs,lspend,-46.0
dynamic,0.019697247433672013,0.17957032739104456,-0.3322605942527753,0.37165508912011935,25,25,7664.0,All_POIs,lspend,-45.0
dynamic,-0.012087487898670734,0.1472751120746122,-0.3007467075649106,0.2765717317675691,26,26,7885.0,All_POIs,lspend,-44.0
dynamic,0.007942406756720933,0.1462666493906183,-0.2787402260488909,0.29462503956233277,27,27,8330.0,All_POIs,lspend,-43.0
dynamic,-0.002428170248380063,0.14688568393907236,-0.29032411076896186,0.28546777027220177,28,28,8650.0,All_POIs,lspend,-42.0
